task_id,split,total_runs,n_evaluable,exact_match_rate,avg_cell_accuracy,avg_latency_ms,total_cost_estimate_usd,parse_error_rate,shape_error_rate
00576224,test,2,0,0.0,,13.5,0.0,0.0,0.0
009d5c81,test,2,1,0.0,0.00510204081632653,12.0,0.0,0.0,0.5
00dbd492,test,2,1,0.0,0.485,14.25,0.0,0.0,0.0
03560426,test,2,2,0.0,0.72,6.0,0.0,0.0,0.0
05a7bcf2,test,2,1,0.0,0.0011111111111111111,12.0,0.0,0.0,0.5
0607ce86,test,2,2,0.0,0.45170454545454547,7.5,0.0,0.0,0.5
0692e18c,test,2,2,0.0,0.006172839506172839,9.75,0.0,0.0,1.0
070dd51e,test,2,1,0.0,0.0025,12.0,0.0,0.0,0.5
08573cc6,test,2,1,0.0,0.46153846153846156,7.5,0.0,0.5,0.0
0934a4d8,test,2,2,0.0,0.0044444444444444444,8.25,0.0,0.0,1.0
09c534e7,test,2,1,0.0,0.8544444444444445,7.5,0.0,0.5,0.0
0a1d4ef5,test,2,2,0.0,0.0,7.5,0.0,0.0,1.0
0a2355a6,test,2,1,0.0,0.6627450980392157,7.5,0.0,0.5,0.0
0b17323b,test,2,1,0.0,0.9644444444444444,13.5,0.0,0.5,0.0
0bb8deee,test,2,1,0.0,0.07142857142857142,9.0,0.0,0.0,0.5
0becf7df,test,2,2,0.5,0.885,5.25,0.0,0.0,0.0
0c786b71,test,2,2,0.5,0.53125,7.5,0.0,0.0,0.5
0c9aba6e,test,2,1,0.0,0.041666666666666664,11.25,0.0,0.5,0.5
0d87d2a6,test,2,2,0.0,0.25217391304347825,9.0,0.0,0.0,0.5
0e671a1a,test,2,2,0.0,0.4230769230769231,9.0,0.0,0.0,0.5
sample01,test,2,2,0.5,0.5555555555555556,7.5,0.0,0.0,0.5
sample02,test,2,2,0.0,0.1111111111111111,10.5,0.0,0.0,1.0
sample03,test,2,2,0.0,0.1111111111111111,6.0,0.0,0.0,0.0
sample04,test,2,2,0.5,0.8888888888888888,4.5,0.0,0.0,0.0
sample05,test,2,1,0.0,0.0,15.75,0.0,0.0,0.5
sample06,test,2,2,0.0,0.16666666666666666,6.75,0.0,0.0,0.0
