run_id,experiment_id,solver_name,model_name,task_id,test_example_id,attempt,benchmark_name,pack_id,parse_status,is_exact_match,failure_mode,cell_accuracy,latency_ms
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,0934a4d8,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,129177.5861430001
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,135a2760,1,1,ARC-AGI-2,arc_agi_2,no_json_array,,parse_error,,195768.03903400013
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,136b0064,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,107997.23576599991
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,13e47133,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,125819.1565370007
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,13e47133,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,145574.95644899973
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,142ca369,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,123237.16534999949
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,142ca369,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,182948.46764500017
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,16b78196,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,83992.98113900021
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,16de56c4,1,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.24338624338624337,78594.9502350004
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,16de56c4,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,104892.60256999932
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,1818057f,1,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.13429752066115702,107705.72137199997
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,195c6913,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,105514.86080300037
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,195c6913,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,101337.223687
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,1ae2feb7,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,101886.22609600044
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,1ae2feb7,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,58675.82373500045
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,1ae2feb7,3,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,69631.83604700043
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,20270e3b,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,92981.75297099988
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,20270e3b,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,71466.67986600005
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,20a9e565,1,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.0,66731.60701600046
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,20a9e565,2,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.029411764705882353,62200.276395999936
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,21897d95,1,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.015555555555555555,74428.34138800026
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,21897d95,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,100374.65540999983
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,221dfab4,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,79744.34690700036
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,221dfab4,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,47570.62629899974
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,247ef758,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,52366.31707600009
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,247ef758,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,79891.39949499986
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,269e22fb,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,78309.62202099999
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,269e22fb,2,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.0,49910.59449899967
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,271d71e2,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,82896.17500199983
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,28a6681f,1,1,ARC-AGI-2,arc_agi_2,no_json_array,,parse_error,,80236.45569499968
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,291dc1e1,1,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.2152777777777778,73656.55144300035
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,2b83f449,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,103933.89600399951
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,2ba387bc,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,71891.64808199985
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,2c181942,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,58207.44851699965
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,2d0172a1,1,1,ARC-AGI-2,arc_agi_2,no_json_array,,parse_error,,62510.65426400055
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,2d0172a1,2,1,ARC-AGI-2,arc_agi_2,ok,False,shape_error,0.0,257841.82397299993
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,31f7f899,1,1,ARC-AGI-2,arc_agi_2,no_json_array,,parse_error,,64514.41543599958
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,332f06d7,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,76582.703692
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,35ab12c3,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,219443.12681799964
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,36a08778,1,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,134875.75324800037
20260716T155616Z_opencode-glm-5.2_15691f67,pilot-glm52-agi2-n120,opencode-glm-5.2,glm-5.2,36a08778,2,1,ARC-AGI-2,arc_agi_2,invalid_grid,,parse_error,,80358.60101599974
