task_id,split,n_items,n_tasks,n_attempts,n_evaluable,exact_match_rate,solved_rate,task_solved_rate,avg_cell_accuracy,avg_latency_ms,total_cost_estimate_usd,parse_error_rate,shape_error_rate
0934a4d8,test,1,1,1,0,0.0,0.0,0.0,,129177.5861430001,0.0,1.0,0.0
135a2760,test,1,1,1,0,0.0,0.0,0.0,,195768.03903400013,0.0,1.0,0.0
136b0064,test,1,1,1,0,0.0,0.0,0.0,,107997.23576599991,0.0,1.0,0.0
13e47133,test,2,1,2,0,0.0,0.0,0.0,,135697.05649300021,0.0,1.0,0.0
142ca369,test,2,1,2,0,0.0,0.0,0.0,,153092.81649749982,0.0,1.0,0.0
16b78196,test,1,1,1,0,0.0,0.0,0.0,,83992.98113900021,0.0,1.0,0.0
16de56c4,test,2,1,2,1,0.0,0.0,0.0,0.24338624338624337,91743.77640249986,0.0,0.5,0.5
1818057f,test,1,1,1,1,0.0,0.0,0.0,0.13429752066115702,107705.72137199997,0.0,0.0,1.0
195c6913,test,2,1,2,0,0.0,0.0,0.0,,103426.0422450002,0.0,1.0,0.0
1ae2feb7,test,3,1,3,0,0.0,0.0,0.0,,76731.2952926671,0.0,1.0,0.0
20270e3b,test,2,1,2,0,0.0,0.0,0.0,,82224.21641849997,0.0,1.0,0.0
20a9e565,test,2,1,2,2,0.0,0.0,0.0,0.014705882352941176,64465.9417060002,0.0,0.0,1.0
21897d95,test,2,1,2,1,0.0,0.0,0.0,0.015555555555555555,87401.49839900005,0.0,0.5,0.5
221dfab4,test,2,1,2,0,0.0,0.0,0.0,,63657.486603000056,0.0,1.0,0.0
247ef758,test,2,1,2,0,0.0,0.0,0.0,,66128.85828549997,0.0,1.0,0.0
269e22fb,test,2,1,2,1,0.0,0.0,0.0,0.0,64110.10825999983,0.0,0.5,0.5
271d71e2,test,1,1,1,0,0.0,0.0,0.0,,82896.17500199983,0.0,1.0,0.0
28a6681f,test,1,1,1,0,0.0,0.0,0.0,,80236.45569499968,0.0,1.0,0.0
291dc1e1,test,1,1,1,1,0.0,0.0,0.0,0.2152777777777778,73656.55144300035,0.0,0.0,1.0
2b83f449,test,1,1,1,0,0.0,0.0,0.0,,103933.89600399951,0.0,1.0,0.0
2ba387bc,test,1,1,1,0,0.0,0.0,0.0,,71891.64808199985,0.0,1.0,0.0
2c181942,test,1,1,1,0,0.0,0.0,0.0,,58207.44851699965,0.0,1.0,0.0
2d0172a1,test,2,1,2,1,0.0,0.0,0.0,0.0,160176.23911850023,0.0,0.5,0.5
31f7f899,test,1,1,1,0,0.0,0.0,0.0,,64514.41543599958,0.0,1.0,0.0
332f06d7,test,1,1,1,0,0.0,0.0,0.0,,76582.703692,0.0,1.0,0.0
35ab12c3,test,1,1,1,0,0.0,0.0,0.0,,219443.12681799964,0.0,1.0,0.0
36a08778,test,2,1,2,0,0.0,0.0,0.0,,107617.17713200006,0.0,1.0,0.0
38007db0,test,2,1,2,1,0.0,0.0,0.0,0.0,69274.59312550037,0.0,0.5,0.5
3a25b0d8,test,2,1,2,0,0.0,0.0,0.0,,51354.03262999989,0.0,1.0,0.0
3dc255db,test,1,1,1,0,0.0,0.0,0.0,,82842.64303999953,0.0,1.0,0.0
3e6067c3,test,2,1,2,0,0.0,0.0,0.0,,79923.69052499998,0.0,1.0,0.0
409aa875,test,1,1,1,0,0.0,0.0,0.0,,59800.60835800032,0.0,1.0,0.0
446ef5d2,test,2,1,2,0,0.0,0.0,0.0,,107877.13963649912,0.0,1.0,0.0
45a5af55,test,1,1,1,0,0.0,0.0,0.0,,64277.76135199929,0.0,1.0,0.0
4a21e3da,test,1,1,1,0,0.0,0.0,0.0,,74822.46440100062,0.0,1.0,0.0
4c3d4a41,test,2,1,2,0,0.0,0.0,0.0,,76657.48942450045,0.0,1.0,0.0
4c416de3,test,1,1,1,0,0.0,0.0,0.0,,95479.90140599904,0.0,1.0,0.0
4c7dc4dd,test,2,1,2,2,0.0,0.0,0.0,0.12,44745.220309000615,0.0,0.0,1.0
4e34c42c,test,2,1,2,1,0.0,0.0,0.0,0.0,49911.43789800026,0.0,0.5,0.5
53fb4810,test,1,1,1,0,0.0,0.0,0.0,,62501.907783000206,0.0,1.0,0.0
5545f144,test,1,1,1,0,0.0,0.0,0.0,,134430.46005900032,0.0,1.0,0.0
581f7754,test,2,1,2,1,0.0,0.0,0.0,0.0,73421.28538199994,0.0,0.5,0.5
58490d8a,test,1,1,1,1,0.0,0.0,0.0,0.23232323232323232,80262.09487000051,0.0,0.0,1.0
58f5dbd5,test,1,1,1,0,0.0,0.0,0.0,,45855.81092299981,0.0,1.0,0.0
5961cc34,test,1,1,1,0,0.0,0.0,0.0,,40615.04452200097,0.0,1.0,0.0
5dbc8537,test,2,1,2,0,0.0,0.0,0.0,,44006.25272899924,0.0,1.0,0.0
62593bfd,test,2,1,2,0,0.0,0.0,0.0,,48223.972266999226,0.0,1.0,0.0
64efde09,test,1,1,1,0,0.0,0.0,0.0,,49333.624175000296,0.0,1.0,0.0
65b59efc,test,2,1,2,1,0.0,0.0,0.0,0.0592,45516.6522870004,0.0,0.5,0.5
67e490f4,test,1,1,1,0,0.0,0.0,0.0,,83046.08898399965,0.0,1.0,0.0
6e453dd6,test,1,1,1,0,0.0,0.0,0.0,,58759.39145099983,0.0,1.0,0.0
6e4f6532,test,2,1,2,0,0.0,0.0,0.0,,50595.79720700094,0.0,1.0,0.0
6ffbe589,test,1,1,1,0,0.0,0.0,0.0,,52662.410394999824,0.0,1.0,0.0
71e489b6,test,2,1,2,0,0.0,0.0,0.0,,59944.126361999224,0.0,1.0,0.0
7491f3cf,test,1,1,1,0,0.0,0.0,0.0,,42503.15785699968,0.0,1.0,0.0
7666fa5d,test,1,1,1,0,0.0,0.0,0.0,,53565.370751000955,0.0,1.0,0.0
78332cb0,test,2,1,2,0,0.0,0.0,0.0,,73908.62106199985,0.0,1.0,0.0
7b0280bc,test,1,1,1,0,0.0,0.0,0.0,,40981.437317999735,0.0,1.0,0.0
7b3084d4,test,1,1,1,1,0.0,0.0,0.0,0.025510204081632654,52166.12825899938,0.0,0.0,1.0
7b5033c1,test,1,1,1,1,0.0,0.0,0.0,0.84,61911.627566998504,0.0,0.0,0.0
7b80bb43,test,1,1,1,0,0.0,0.0,0.0,,57136.368961999324,0.0,1.0,0.0
7c66cb00,test,1,1,1,0,0.0,0.0,0.0,,57753.61878900003,0.0,1.0,0.0
7ed72f31,test,2,1,2,0,0.0,0.0,0.0,,55540.78572900016,0.0,1.0,0.0
800d221b,test,1,1,1,0,0.0,0.0,0.0,,98597.07368599993,0.0,1.0,0.0
80a900e0,test,1,1,1,0,0.0,0.0,0.0,,50371.2578930008,0.0,1.0,0.0
8698868d,test,1,1,1,0,0.0,0.0,0.0,,58526.31599599954,0.0,1.0,0.0
88bcf3b4,test,2,1,2,1,0.0,0.0,0.0,0.0,51786.349111500385,0.0,0.5,0.5
88e364bc,test,2,1,2,0,0.0,0.0,0.0,,44913.85828300008,0.0,1.0,0.0
89565ca0,test,1,1,1,1,0.0,0.0,0.0,0.23333333333333334,56729.142858999694,0.0,0.0,1.0
898e7135,test,1,1,1,0,0.0,0.0,0.0,,48402.45870000035,0.0,1.0,0.0
8b7bacbf,test,2,1,2,0,0.0,0.0,0.0,,57852.94853600044,0.0,1.0,0.0
8b9c3697,test,1,1,1,0,0.0,0.0,0.0,,51663.02379099943,0.0,1.0,0.0
8e5c0c38,test,2,1,2,1,0.0,0.0,0.0,0.002066115702479339,62866.82836199998,0.0,0.5,0.5
8f215267,test,1,1,1,0,0.0,0.0,0.0,,43807.740800999454,0.0,1.0,0.0
8f3a5a89,test,1,1,1,0,0.0,0.0,0.0,,76037.15685399948,0.0,1.0,0.0
9385bd28,test,2,1,2,1,0.0,0.0,0.0,0.0,52195.39354349945,0.0,0.5,0.5
97d7923e,test,1,1,1,0,0.0,0.0,0.0,,60397.75529100007,0.0,1.0,0.0
981571dc,test,1,1,1,0,0.0,0.0,0.0,,40242.43025599935,0.0,1.0,0.0
9aaea919,test,1,1,1,0,0.0,0.0,0.0,,60412.85660200083,0.0,1.0,0.0
9bbf930d,test,1,1,1,0,0.0,0.0,0.0,,43007.74281200029,0.0,1.0,0.0
a251c730,test,1,1,1,0,0.0,0.0,0.0,,69018.14797800034,0.0,1.0,0.0
a25697e4,test,2,1,2,0,0.0,0.0,0.0,,57193.20833100119,0.0,1.0,0.0
a32d8b75,test,2,1,2,1,0.0,0.0,0.0,0.0,45885.60366300044,0.0,0.5,0.5
a395ee82,test,1,1,1,0,0.0,0.0,0.0,,67196.55733199943,0.0,1.0,0.0
a47bf94d,test,1,1,1,0,0.0,0.0,0.0,,55580.08481199977,0.0,1.0,0.0
a6f40cea,test,1,1,1,1,0.0,0.0,0.0,0.025,51179.14084199947,0.0,0.0,1.0
aa4ec2a5,test,1,1,1,0,0.0,0.0,0.0,,37633.321000999786,0.0,1.0,0.0
abc82100,test,1,1,1,0,0.0,0.0,0.0,,61207.94047100026,0.0,1.0,0.0
b0039139,test,2,1,2,2,0.0,0.0,0.0,0.017241379310344827,35133.759279000515,0.0,0.0,1.0
b10624e5,test,1,1,1,0,0.0,0.0,0.0,,24981.87040099947,0.0,1.0,0.0
b5ca7ac4,test,1,1,1,0,0.0,0.0,0.0,,47649.55064399874,0.0,1.0,0.0
b6f77b65,test,2,1,2,0,0.0,0.0,0.0,,43100.183540001126,0.0,1.0,0.0
b99e7126,test,1,1,1,0,0.0,0.0,0.0,,38870.97534399982,0.0,1.0,0.0
b9e38dc0,test,1,1,1,0,0.0,0.0,0.0,,35614.31104999974,0.0,1.0,0.0
bf45cf4b,test,1,1,1,1,0.0,0.0,0.0,0.0,37967.019858999265,0.0,0.0,1.0
c4d067a0,test,1,1,1,0,0.0,0.0,0.0,,30152.498053999807,0.0,1.0,0.0
c7f57c3e,test,1,1,1,0,0.0,0.0,0.0,,38677.377867999894,0.0,1.0,0.0
cb2d8a2c,test,2,1,2,0,0.0,0.0,0.0,,30836.56427999904,0.0,1.0,0.0
cbebaa4b,test,2,1,2,0,0.0,0.0,0.0,,32920.770741000524,0.0,1.0,0.0
d35bdbdc,test,3,1,3,1,0.0,0.0,0.0,0.0,34296.87271400022,0.0,0.6666666666666666,0.3333333333333333
d59b0160,test,1,1,1,0,0.0,0.0,0.0,,36382.58273599968,0.0,1.0,0.0
d8e07eb2,test,2,1,2,1,0.0,0.0,0.0,0.0,39077.55330700002,0.0,0.5,0.5
da515329,test,1,1,1,0,0.0,0.0,0.0,,29138.497744999768,0.0,1.0,0.0
db0c5428,test,1,1,1,0,0.0,0.0,0.0,,28691.978160000872,0.0,1.0,0.0
db695cfb,test,1,1,1,0,0.0,0.0,0.0,,38305.29189899971,0.0,1.0,0.0
dbff022c,test,1,1,1,0,0.0,0.0,0.0,,38710.31420500003,0.0,1.0,0.0
dd6b8c4b,test,2,1,2,0,0.0,0.0,0.0,,40153.68221499921,0.0,1.0,0.0
de809cff,test,1,1,1,0,0.0,0.0,0.0,,58582.150987000205,0.0,1.0,0.0
dfadab01,test,1,1,1,0,0.0,0.0,0.0,,40242.03973600015,0.0,1.0,0.0
e12f9a14,test,2,1,2,0,0.0,0.0,0.0,,38412.925505499516,0.0,1.0,0.0
e3721c99,test,2,1,2,0,0.0,0.0,0.0,,54273.39362049952,0.0,1.0,0.0
e376de54,test,1,1,1,1,0.0,0.0,0.0,0.8515625,23699.5768350007,0.0,0.0,0.0
e8686506,test,1,1,1,1,0.0,0.0,0.0,0.0,45654.18901399971,0.0,0.0,0.0
e87109e9,test,1,1,1,0,0.0,0.0,0.0,,44872.58942100016,0.0,1.0,0.0
edb79dae,test,1,1,1,0,0.0,0.0,0.0,,41218.12434599997,0.0,1.0,0.0
eee78d87,test,1,1,1,0,0.0,0.0,0.0,,33388.61827400069,0.0,1.0,0.0
f560132c,test,1,1,1,1,0.0,0.0,0.0,0.027777777777777776,49492.150754998875,0.0,0.0,1.0
f931b4a8,test,2,1,2,2,0.0,0.0,0.0,0.01875,39581.84568600063,0.0,0.0,0.5
faa9f03d,test,1,1,1,1,0.0,0.0,0.0,0.8263888888888888,30825.738197001556,0.0,0.0,0.0
fc7cae8d,test,1,1,1,1,0.0,0.0,0.0,0.029166666666666667,36581.65204500074,0.0,0.0,1.0
